execucao,melhor_PSO,melhor_EPSO,tempo_PSO_s,tempo_EPSO_s
1,0.0,0.0013660758506546244,0.035744428634643555,0.09048008918762207
2,0.0,1.1067197450094852,0.0353550910949707,0.08756494522094727
3,0.0,0.07178818775989271,0.036420345306396484,0.08989357948303223
4,0.0,0.007378919007905438,0.034958839416503906,0.08960843086242676
5,0.0,0.016019142296840982,0.03617501258850098,0.09226131439208984
6,0.0,2.1081989460722355,0.036321163177490234,0.09077572822570801
7,0.9949590570932969,0.9949640474302583,0.03842020034790039,0.09205222129821777
8,0.0,0.009629493261058997,0.03504657745361328,0.08988475799560547
9,0.0,0.16937712339377242,0.03679180145263672,0.0918436050415039
10,0.0,1.4051501364807137,0.03525590896606445,0.08873772621154785
11,0.0,0.3961429761688322,0.03959393501281738,0.09696292877197266
12,4.263256414560601e-14,0.2877199251663143,0.03746962547302246,0.09167146682739258
13,0.0,1.030493135885564,0.03541398048400879,0.09184026718139648
14,0.0,0.00019003248176829857,0.036165475845336914,0.09222412109375
15,0.0,0.029750001739373033,0.03790855407714844,0.09050750732421875
16,0.0,1.2564799154438901,0.03701376914978027,0.10513830184936523
17,0.0,0.23049416257477162,0.03592371940612793,0.09461760520935059
18,0.0,0.19403617934540307,0.035958290100097656,0.08945250511169434
19,0.0,0.00017470693984478203,0.03576779365539551,0.09532642364501953
20,0.0,0.7001027701854525,0.03908395767211914,0.09159421920776367
21,0.0,0.04754768596430381,0.037954092025756836,0.09047055244445801
22,0.0,0.0039197837308790895,0.03789329528808594,0.0923006534576416
23,0.0,0.0030246586291013955,0.04071354866027832,0.08882498741149902
24,0.9949590570932969,0.0180023030113432,0.039586544036865234,0.0896759033203125
25,0.0,0.005439649992922568,0.03987836837768555,0.09148478507995605
26,0.0,0.022138019558440192,0.03775358200073242,0.0886085033416748
27,0.0,1.994050328048388,0.03850531578063965,0.08939218521118164
28,0.9949590570932969,1.0471045458332924,0.037811279296875,0.09095478057861328
29,0.0,0.026167012806894263,0.039014339447021484,0.09083104133605957
30,0.0,0.0004649320708836058,0.03691220283508301,0.09105896949768066
